season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,PBKS,1,MA Agarwal,Mayank Agarwal,52,32,51,6,2,162.50,True,False,"{'wickets': 1, 'runs': 97}",9.3,c Yadav b Ashwin,"finally a wicket for Mumbai Indians. Well bowled by Ashwin. Agarwal is clearing the front leg again to look to go over long-off or straight. Ashwin makes sure he doesn't bowl it under his bat. Just short enough to make him drag it. Agarwal gets the toe end on it, and manages to only sky it as far as long-off. He is filthy with himself",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,PBKS,1,S Dhawan,Shikhar Dhawan,70,50,91,5,3,140.00,False,False,"{'wickets': 4, 'runs': 151}",16.6,c Pollard b Basil Thampi,"<strong>another slower ball produces a wicket. </strong> Fullish length ball on middle, Dhawan tries to go over the leg side again but splices this high to long-on. Pollard stands 10 yards inside the rope and waits a few seconds for the ball to come down into his hands at chest height.",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,PBKS,1,JM Bairstow,Jonny Bairstow,12,13,21,1,0,92.30,False,False,"{'wickets': 2, 'runs': 127}",13.5, b Unadkat,"<strong>slower ball at 103 kph produces a drag on!</strong> Good length ball angled across off stump, Bairstow tries to heave this over midwicket but is through the shot early and drags a bottom edge onto the stumps.",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,PBKS,1,LS Livingstone,Liam Livingstone,2,3,6,0,0,66.66,False,False,"{'wickets': 3, 'runs': 130}",14.3, b Bumrah,<strong>143 kph bread and butter yorker!</strong> So much for all the people flooding the feedback desperate for a tactical retired out so Livingstone could enter. Bumrah slings in a missile at the base of middle stump and Livingstone can't jam the bat down in time to keep it out.,
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,PBKS,1,JM Sharma,Jitesh Sharma,30,15,32,2,2,200.00,False,True,{},,not out,,
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,PBKS,1,M Shahrukh Khan,M Shahrukh Khan,15,6,17,0,2,250.00,False,False,"{'wickets': 5, 'runs': 197}",19.4, b Basil Thampi,"yorker finally lands on the proper length at 142 kph on sixth stump, Shahrukh tries to punch this out through the off side and it tails in late to produce an inside edge that cannons back into off stump.",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,PBKS,1,OF Smith,Odean Smith,1,1,2,0,0,100.00,False,True,{},,not out,,
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,MI,2,RG Sharma,Rohit Sharma,28,17,17,3,2,164.70,True,False,"{'wickets': 1, 'runs': 31}",3.4,c Arora b Rabada,"Rabada handcuffs Rohit. He is surprised by this short one, which doesn't give him any room. He tries to short-arm pull it, but gets a massive top edge. Vaibhav Arora gets around from short fine leg, and takes s safe catch. Rohit just didn't have room to push his hands through this one",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,MI,2,Ishan Kishan,Ishan Kishan,3,6,21,0,0,50.00,False,False,"{'wickets': 2, 'runs': 32}",4.1,c &dagger;Sharma b Arora,"lovely delivery. Slight shape back in, pitches on a length, middle and leg, and then seams away to take his outside edge. A T20 wicket on a defensive shot. Superb bowling",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,MI,2,D Brevis,Dewald Brevis,49,25,37,4,5,196.00,False,False,"{'wickets': 3, 'runs': 116}",10.6,c Arshdeep Singh b Smith,"<b>the drop only costs four runs!</b> Short on the body, Brevis slams a pull flat to deep backward square. Arshdeep is in perfect position and judges it very well coming 10 yards off the rope to pouch a head high catch.",
