,Name,runs,balls,fours,sixes,sr
212,KC Cariappa,9.0,3.0,0.0,1.0,300.0
213,Dhruv Shorey,5.0,8.0,0.0,0.0,62.5
214,Heinrich Klaasen,9.0,10.0,0.0,0.0,90.0
215,Barinder Sran,3.0,3.0,0.0,0.0,100.0
216,Martin Guptill,81.0,53.0,4.0,7.0,152.83018867924528
217,Ish Sodhi,6.0,11.0,0.0,0.0,54.54545454545455
218,Basil Thampi,1.0,1.0,0.0,0.0,100.0
219,Mark Wood,0.0,0.0,0.0,0.0,0.0
220,Gautam Gambhir,0.0,0.0,0.0,0.0,0.0
221,Daniel Christian,0.0,0.0,0.0,0.0,0.0
222,Brendon McCullum,0.0,0.0,0.0,0.0,0.0
223,Vinay Kumar,0.0,0.0,0.0,0.0,0.0
224,D'Arcy Short,0.0,0.0,0.0,0.0,0.0
225,Ben Laughlin,0.0,0.0,0.0,0.0,0.0
226,Pradeep Sangwan,0.0,0.0,0.0,0.0,0.0
227,Billy Stanlake,0.0,0.0,0.0,0.0,0.0
228,Akila Dananjaya,0.0,0.0,0.0,0.0,0.0
229,Mitchell Johnson,0.0,0.0,0.0,0.0,0.0
230,Corey Anderson,0.0,0.0,0.0,0.0,0.0
231,Liam Plunkett,0.0,0.0,0.0,0.0,0.0
232,Manoj Tiwary,0.0,0.0,0.0,0.0,0.0
233,Alex Hales,0.0,0.0,0.0,0.0,0.0
234,Jean-Paul Duminy,0.0,0.0,0.0,0.0,0.0
235,Karn Sharma,0.0,0.0,0.0,0.0,0.0
236,Naman Ojha,0.0,0.0,0.0,0.0,0.0
237,Prashant Chopra,0.0,0.0,0.0,0.0,0.0
238,Javon Searles,0.0,0.0,0.0,0.0,0.0
239,Anureet Singh,0.0,0.0,0.0,0.0,0.0
