,Name,runs_2017,ballsfaced_2017,fours_2017,sixes_2017,strikeRate_2017
148,T Natarajan,0,0,0,0,0
149,Marco Jansen,0,0,0,0,0
150,Ben Stokes,0,0,0,0,0
151,Chris Lynn,0,0,0,0,0
152,James Pattinson,0,0,0,0,0
153,Murali Vijay,0,0,0,0,0
154,Shane Watson,0,0,0,0,0
155,Anrich Nortje,0,0,0,0,0
156,Karun Nair,0,0,0,0,0
157,Krishnappa Gowtham,0,0,0,0,0
158,Aaron Finch,0,0,0,0,0
159,Josh Philippe,0,0,0,0,0
160,Mitchell Marsh,0,0,0,0,0
161,Jofra Archer,0,0,0,0,0
162,Nikhil Naik,0,0,0,0,0
163,Kuldeep Yadav,0,0,0,0,0
164,Umesh Yadav,0,0,0,0,0
165,Dale Steyn,0,0,0,0,0
166,Ankit Rajpoot,0,0,0,0,0
167,Isuru Udana,0,0,0,0,0
168,Sheldon Cottrell,0,0,0,0,0
169,Andrew Tye,0,0,0,0,0
170,Varun Aaron,0,0,0,0,0
171,Narayan Jagadeesan,0,0,0,0,0
172,Alex Carey,0,0,0,0,0
173,Tom Banton,0,0,0,0,0
174,Gurkeerat Singh Mann,0,0,0,0,0
175,Imran Tahir,0,0,0,0,0
176,Tushar Deshpande,0,0,0,0,0
177,Rinku Singh,0,0,0,0,0
178,Praveen Dubey,0,0,0,0,0
179,Shreevats Goswami,0,0,0,0,0
180,Parthiv Patel,0,0,0,0,0
181,Colin de Grandhomme,0,0,0,0,0
182,Yusuf Pathan,0,0,0,0,0
183,Colin Ingram,0,0,0,0,0
184,Keemo Paul,0,0,0,0,0
185,Yuvraj Singh,0,0,0,0,0
186,Ben Cutting,0,0,0,0,0
187,Mitchell McClenaghan,0,0,0,0,0
188,Rasikh Salam,0,0,0,0,0
189,Mayank Markande,0,0,0,0,0
190,Hanuma Vihari,0,0,0,0,0
191,Prayas Ray Barman,0,0,0,0,0
192,Hardus Viljoen,0,0,0,0,0
193,Sandeep Lamichhane,0,0,0,0,0
194,Mohit Sharma,0,0,0,0,0
195,Ishant Sharma,0,0,0,0,0
196,Alzarri Joseph,0,0,0,0,0
197,Akshdeep Nath,0,0,0,0,0
198,Pawan Negi,0,0,0,0,0
199,Harry Gurney,0,0,0,0,0
200,Siddhesh Lad,0,0,0,0,0
201,Mitchell Santner,0,0,0,0,0
202,Joe Denly,0,0,0,0,0
203,Carlos Brathwaite,0,0,0,0,0
204,Colin Munro,0,0,0,0,0
205,Ricky Bhui,0,0,0,0,0
206,Ashton Turner,0,0,0,0,0
207,Stuart Binny,0,0,0,0,0
208,Sam Billings,0,0,0,0,0
209,Amit Mishra,0,0,0,0,0
210,Sherfane Rutherford,0,0,0,0,0
211,Prithvi Raj,0,0,0,0,0
212,KC Cariappa,0,0,0,0,0
213,Dhruv Shorey,0,0,0,0,0
214,Heinrich Klaasen,0,0,0,0,0
215,Barinder Sran,0,0,0,0,0
216,Martin Guptill,0,0,0,0,0
217,Ish Sodhi,0,0,0,0,0
218,Basil Thampi,0,0,0,0,0
219,Mark Wood,0,0,0,0,0
220,Gautam Gambhir,0,0,0,0,0
221,Daniel Christian,0,0,0,0,0
222,Brendon McCullum,0,0,0,0,0
223,Vinay Kumar,0,0,0,0,0
224,D'Arcy Short,0,0,0,0,0
225,Ben Laughlin,0,0,0,0,0
226,Pradeep Sangwan,0,0,0,0,0
227,Billy Stanlake,0,0,0,0,0
228,Akila Dananjaya,0,0,0,0,0
229,Mitchell Johnson,0,0,0,0,0
230,Corey Anderson,0,0,0,0,0
231,Liam Plunkett,0,0,0,0,0
232,Manoj Tiwary,0,0,0,0,0
233,Alex Hales,0,0,0,0,0
234,Jean-Paul Duminy,0,0,0,0,0
235,Karn Sharma,0,0,0,0,0
236,Naman Ojha,0,0,0,0,0
237,Prashant Chopra,0,0,0,0,0
238,Javon Searles,0,0,0,0,0
239,Anureet Singh,0,0,0,0,0
