,Name,runs,balls,fours,sixes,sr
0,Ruturaj Gaikwad,204.0,169.0,16.0,6.0,120.71005917159763
1,Faf du Plessis,449.0,319.0,42.0,14.0,140.7523510971787
2,Robin Uthappa,196.0,164.0,19.0,7.0,119.51219512195122
3,Moeen Ali,12.0,16.0,1.0,0.0,75.0
4,Shubman Gill,440.0,373.0,44.0,9.0,117.96246648793566
5,Venkatesh Iyer,0.0,0.0,0.0,0.0,0.0
6,Nitish Rana,352.0,254.0,43.0,12.0,138.58267716535434
7,Sunil Narine,121.0,85.0,10.0,8.0,142.35294117647058
8,Eoin Morgan,418.0,302.0,32.0,24.0,138.41059602649005
9,Dinesh Karthik,169.0,134.0,20.0,4.0,126.11940298507463
10,Shakib Al Hasan,0.0,0.0,0.0,0.0,0.0
11,Rahul Tripathi,230.0,181.0,21.0,10.0,127.07182320441989
12,Lockie Ferguson,43.0,29.0,4.0,1.0,148.27586206896552
13,Shivam Mavi,10.0,14.0,1.0,0.0,71.42857142857143
14,Varun Chakravarthy,10.0,15.0,0.0,0.0,66.66666666666667
15,Prithvi Shaw,228.0,167.0,27.0,8.0,136.52694610778443
16,Shikhar Dhawan,618.0,427.0,67.0,12.0,144.73067915690868
17,Marcus Stoinis,352.0,237.0,31.0,16.0,148.52320675105486
18,Shreyas Iyer,519.0,421.0,40.0,16.0,123.27790973871734
19,Rishabh Pant,343.0,301.0,31.0,9.0,113.95348837209302
20,Shimron Hetmyer,185.0,125.0,11.0,12.0,148.0
21,Axar Patel,117.0,85.0,6.0,8.0,137.64705882352942
22,Devdutt Padikkal,473.0,379.0,51.0,8.0,124.80211081794195
23,Virat Kohli,466.0,384.0,23.0,11.0,121.35416666666667
24,Srikar Bharat,0.0,0.0,0.0,0.0,0.0
25,Glenn Maxwell,108.0,106.0,9.0,0.0,101.88679245283019
26,AB de Villiers,454.0,286.0,33.0,23.0,158.74125874125875
27,Shahbaz Ahmed,1.0,1.0,0.0,0.0,100.0
28,Dan Christian,0.0,0.0,0.0,0.0,0.0
29,Harshal Patel,21.0,24.0,2.0,0.0,87.5
30,George Garton,0.0,0.0,0.0,0.0,0.0
31,Tom Curran,83.0,62.0,5.0,3.0,133.8709677419355
32,Shardul Thakur,12.0,21.0,0.0,0.0,57.142857142857146
33,Ambati Rayudu,359.0,282.0,30.0,12.0,127.30496453900709
34,MS Dhoni,200.0,172.0,16.0,7.0,116.27906976744185
35,Ravindra Jadeja,232.0,135.0,22.0,11.0,171.85185185185185
36,Ripal Patel,0.0,0.0,0.0,0.0,0.0
37,Rohit Sharma,332.0,260.0,27.0,19.0,127.6923076923077
38,Ishan Kishan,516.0,354.0,36.0,30.0,145.76271186440678
39,Hardik Pandya,281.0,157.0,14.0,25.0,178.98089171974522
40,Kieron Pollard,268.0,140.0,15.0,22.0,191.42857142857142
41,Suryakumar Yadav,480.0,331.0,61.0,11.0,145.01510574018127
42,James Neesham,19.0,18.0,0.0,1.0,105.55555555555556
43,Krunal Pandya,109.0,92.0,9.0,5.0,118.47826086956522
44,Nathan Coulter-Nile,25.0,15.0,4.0,0.0,166.66666666666666
45,Piyush Chawla,0.0,0.0,0.0,0.0,0.0
46,Jasprit Bumrah,5.0,3.0,0.0,0.0,166.66666666666666
47,Trent Boult,0.0,1.0,0.0,0.0,0.0
48,Jason Roy,0.0,0.0,0.0,0.0,0.0
49,Abhishek Sharma,71.0,56.0,6.0,3.0,126.78571428571429
50,Manish Pandey,425.0,333.0,35.0,18.0,127.62762762762763
51,Mohammad Nabi,11.0,8.0,2.0,0.0,137.5
52,Abdul Samad,111.0,65.0,8.0,6.0,170.76923076923077
53,Priyam Garg,133.0,111.0,9.0,4.0,119.81981981981981
54,Jason Holder,66.0,53.0,5.0,3.0,124.52830188679245
55,Rashid Khan,35.0,30.0,3.0,2.0,116.66666666666667
56,Wriddhiman Saha,214.0,153.0,24.0,5.0,139.86928104575162
57,Siddarth Kaul,0.0,0.0,0.0,0.0,0.0
58,Yashasvi Jaiswal,40.0,44.0,2.0,2.0,90.9090909090909
59,Liam Livingstone,0.0,0.0,0.0,0.0,0.0
60,Sanju Samson,375.0,236.0,21.0,26.0,158.89830508474577
61,Shivam Dube,129.0,105.0,5.0,9.0,122.85714285714286
62,Anuj Rawat,0.0,0.0,0.0,0.0,0.0
63,Glenn Phillips,0.0,0.0,0.0,0.0,0.0
64,Rahul Tewatia,255.0,183.0,13.0,17.0,139.34426229508196
65,Chris Morris,34.0,21.0,2.0,3.0,161.9047619047619
66,Jaydev Unadkat,9.0,13.0,0.0,0.0,69.23076923076923
67,Chetan Sakariya,0.0,0.0,0.0,0.0,0.0
68,Mustafizur Rahman,0.0,0.0,0.0,0.0,0.0
69,Dwayne Bravo,7.0,6.0,0.0,0.0,116.66666666666667
70,KL Rahul,670.0,518.0,58.0,23.0,129.34362934362935
71,Mayank Agarwal,424.0,271.0,44.0,15.0,156.45756457564576
72,Sarfaraz Khan,33.0,29.0,5.0,0.0,113.79310344827586
73,M Shahrukh Khan,0.0,0.0,0.0,0.0,0.0
74,Aiden Markram,0.0,0.0,0.0,0.0,0.0
75,Moises Henriques,0.0,0.0,0.0,0.0,0.0
76,Kane Williamson,317.0,237.0,26.0,10.0,133.75527426160338
77,Evin Lewis,0.0,0.0,0.0,0.0,0.0
78,David Miller,0.0,0.0,0.0,0.0,0.0
79,Shreyas Gopal,37.0,39.0,3.0,0.0,94.87179487179488
80,Kuldip Yadav,0.0,0.0,0.0,0.0,0.0
81,Ravichandran Ashwin,37.0,34.0,3.0,1.0,108.82352941176471
82,Kagiso Rabada,56.0,49.0,4.0,2.0,114.28571428571429
83,Bhuvneshwar Kumar,0.0,2.0,0.0,0.0,0.0
84,Nicholas Pooran,353.0,208.0,23.0,25.0,169.71153846153845
85,Harpreet Brar,0.0,0.0,0.0,0.0,0.0
86,Suresh Raina,0.0,0.0,0.0,0.0,0.0
87,Quinton de Kock,503.0,358.0,46.0,22.0,140.50279329608938
88,Saurabh Tiwary,103.0,80.0,8.0,3.0,128.75
89,Jayant Yadav,0.0,0.0,0.0,0.0,0.0
90,Steven Smith,311.0,237.0,32.0,9.0,131.22362869198312
91,Tim Seifert,0.0,0.0,0.0,0.0,0.0
92,Deepak Hooda,101.0,71.0,5.0,5.0,142.25352112676057
93,Fabian Allen,0.0,0.0,0.0,0.0,0.0
94,Mahipal Lomror,59.0,54.0,2.0,3.0,109.25925925925925
95,Riyan Parag,86.0,77.0,6.0,3.0,111.68831168831169
96,Kartik Tyagi,4.0,6.0,0.0,0.0,66.66666666666667
97,Mandeep Singh,130.0,109.0,10.0,4.0,119.26605504587155
98,Chris Gayle,288.0,210.0,15.0,23.0,137.14285714285714
99,Nathan Ellis,0.0,0.0,0.0,0.0,0.0
100,Lalit Yadav,0.0,0.0,0.0,0.0,0.0
101,Avesh Khan,0.0,0.0,0.0,0.0,0.0
102,Tim Southee,0.0,0.0,0.0,0.0,0.0
103,Kyle Jamieson,0.0,0.0,0.0,0.0,0.0
104,Adam Milne,0.0,0.0,0.0,0.0,0.0
105,Rahul Chahar,2.0,4.0,0.0,0.0,50.0
106,Andre Russell,117.0,81.0,9.0,9.0,144.44444444444446
107,Sam Curran,186.0,141.0,12.0,12.0,131.91489361702128
108,Deepak Chahar,7.0,12.0,0.0,0.0,58.333333333333336
109,Mohammed Shami,2.0,3.0,0.0,0.0,66.66666666666667
110,David Warner,548.0,407.0,52.0,14.0,134.64373464373463
111,Kedar Jadhav,62.0,66.0,7.0,0.0,93.93939393939394
112,Tabraiz Shamsi,0.0,0.0,0.0,0.0,0.0
113,Tim David,0.0,0.0,0.0,0.0,0.0
114,Wanindu Hasaranga de Silva,0.0,0.0,0.0,0.0,0.0
115,Sandeep Sharma,12.0,15.0,1.0,0.0,80.0
116,Sachin Baby,0.0,0.0,0.0,0.0,0.0
117,Mohammed Siraj,17.0,14.0,2.0,0.0,121.42857142857143
118,Yuzvendra Chahal,1.0,3.0,0.0,0.0,33.333333333333336
119,Anmolpreet Singh,0.0,0.0,0.0,0.0,0.0
120,Prabhsimran Singh,15.0,15.0,2.0,0.0,100.0
121,Dawid Malan,0.0,0.0,0.0,0.0,0.0
122,Chris Jordan,29.0,31.0,2.0,0.0,93.54838709677419
123,Jos Buttler,328.0,227.0,27.0,16.0,144.4933920704846
124,Jonny Bairstow,345.0,272.0,31.0,13.0,126.83823529411765
125,Vijay Shankar,97.0,96.0,10.0,1.0,101.04166666666667
126,Dhawal Kulkarni,3.0,2.0,0.0,0.0,150.0
127,Rajat Patidar,0.0,0.0,0.0,0.0,0.0
128,Daniel Sams,0.0,2.0,0.0,0.0,0.0
129,Pat Cummins,146.0,114.0,9.0,8.0,128.0701754385965
130,Washington Sundar,111.0,95.0,10.0,2.0,116.84210526315789
131,Ravi Bishnoi,7.0,12.0,1.0,0.0,58.333333333333336
132,Arshdeep Singh,0.0,3.0,0.0,0.0,0.0
133,Virat Singh,0.0,0.0,0.0,0.0,0.0
134,Jagadeesha Suchith,0.0,0.0,0.0,0.0,0.0
135,Navdeep Saini,27.0,27.0,3.0,0.0,100.0
136,Prasidh Krishna,2.0,4.0,0.0,0.0,50.0
137,Manan Vohra,0.0,0.0,0.0,0.0,0.0
138,Kamlesh Nagarkoti,22.0,31.0,1.0,0.0,70.96774193548387
139,Murugan Ashwin,4.0,4.0,0.0,0.0,100.0
140,Harbhajan Singh,0.0,0.0,0.0,0.0,0.0
141,Mujeeb Ur Rahman,1.0,3.0,0.0,0.0,33.333333333333336
142,Khaleel Ahmed,0.0,2.0,0.0,0.0,0.0
143,Jhye Richardson,0.0,0.0,0.0,0.0,0.0
144,Riley Meredith,0.0,0.0,0.0,0.0,0.0
145,Ajinkya Rahane,113.0,107.0,12.0,2.0,105.60747663551402
146,Chris Woakes,0.0,0.0,0.0,0.0,0.0
147,Shahbaz Nadeem,7.0,8.0,1.0,0.0,87.5
148,T Natarajan,3.0,5.0,0.0,0.0,60.0
149,Marco Jansen,0.0,0.0,0.0,0.0,0.0
150,Ben Stokes,285.0,200.0,36.0,7.0,142.5
151,Chris Lynn,0.0,0.0,0.0,0.0,0.0
152,James Pattinson,15.0,13.0,2.0,0.0,115.38461538461539
153,Murali Vijay,32.0,43.0,4.0,0.0,74.4186046511628
154,Shane Watson,299.0,247.0,33.0,13.0,121.05263157894737
155,Anrich Nortje,7.0,6.0,0.0,0.0,116.66666666666667
156,Karun Nair,16.0,14.0,2.0,0.0,114.28571428571429
157,Krishnappa Gowtham,42.0,27.0,3.0,2.0,155.55555555555554
158,Aaron Finch,268.0,241.0,28.0,8.0,111.20331950207469
159,Josh Philippe,78.0,77.0,9.0,1.0,101.2987012987013
160,Mitchell Marsh,0.0,1.0,0.0,0.0,0.0
